,Beta,Volatility,Max Drawdown,Annualized Return,Sharpe Ratio,Sortino Ratio,VaR (95%)
MSTR,1.832763617355139,0.8090747499193063,-0.8976377952755905,1.0456940392682723,0.8611744542577999,1.1574386284435452,-0.0714285714285714
BTC,1.0745067749612627,0.5410090704544636,-0.7663469792499183,0.5548169002447747,0.7795516560046166,0.7921136253748755,-0.05028859936224454
SP500,1.0005963029218843,0.1799396049055427,-0.2853035143769968,0.11577738683489414,0.49780694974034084,0.5538061762258455,-0.015849736991557853
