Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,BTC_Total_Value,MSTR_Total_Value,Value_Ratio
2019-10-08,14.395999908447266,8228.783203125,,,,,2634295231.2469482,
2019-10-09,14.437000274658203,8595.740234375,,,,,2641797806.2591553,
2019-10-10,14.35200023651123,8586.4736328125,,,,,2626243819.278717,
2019-10-11,14.414999961853027,8321.7568359375,,,,,2637772013.019562,
2019-10-12,14.414999961853027,8336.5556640625,,,,,2637772013.019562,
2019-10-13,14.414999961853027,8321.005859375,,,,,2637772013.019562,
2019-10-14,14.394000053405762,8374.6865234375,,,,,2633929281.7726135,
2019-10-15,14.41800022125244,8205.369140625,,,,,2638321024.4865413,
2019-10-16,14.340999603271484,8047.52685546875,,,,,2624230835.4034424,
2019-10-17,14.371999740600586,8103.9111328125,,,,,2629903488.53302,
2019-10-18,14.3149995803833,7973.20751953125,,,,,2619473143.2151794,
2019-10-19,14.3149995803833,7988.560546875,,,,,2619473143.2151794,
2019-10-20,14.3149995803833,8222.078125,,,,,2619473143.2151794,
2019-10-21,14.402000427246094,8243.720703125,,,,,2635393254.180908,
2019-10-22,14.302000045776367,8078.203125,,,,,2617094384.376526,
2019-10-23,14.260000228881836,7514.671875,,,,,2609408921.8826294,
2019-10-24,14.460000038146973,7493.48876953125,,,,,2646006486.980438,
2019-10-25,14.57699966430664,8660.7001953125,,,,,2667416014.5721436,
2019-10-26,14.57699966430664,9244.97265625,,,,,2667416014.5721436,
2019-10-27,14.57699966430664,9551.71484375,,,,,2667416014.5721436,
2019-10-28,14.616999626159668,9256.1484375,,,,,2674735527.5917053,
2019-10-29,14.664999961853027,9427.6875,,,,,2683519013.019562,
2019-10-30,15.340999603271484,9205.7265625,,,,,2807218835.4034424,
2019-10-31,15.324999809265137,9199.5849609375,,,,,2804291065.097809,
2019-11-01,15.369000434875488,9261.1044921875,,,,,2812342651.576996,
2019-11-02,15.369000434875488,9324.7177734375,,,,,2812342651.576996,
2019-11-03,15.369000434875488,9235.3544921875,,,,,2812342651.576996,
2019-11-04,15.35099983215332,9412.6123046875,,,,,2809048757.286072,
2019-11-05,15.5,9342.52734375,,,,,2836314000.0,
2019-11-06,15.496000289916992,9360.8798828125,,,,,2835582101.0513306,
2019-11-07,15.57800006866455,9267.5615234375,,,,,2850587076.564789,
2019-11-08,15.61299991607666,8804.880859375,,,,,2856991628.643036,
2019-11-09,15.61299991607666,8813.58203125,,,,,2856991628.643036,
2019-11-10,15.61299991607666,9055.5263671875,,,,,2856991628.643036,
2019-11-11,15.592000007629396,8757.7880859375,,,,,2853148897.396088,
2019-11-12,15.805999755859377,8815.662109375,,,,,2892308283.325196,
2019-11-13,15.696000099182127,8808.2626953125,,,,,2872179666.149139,
2019-11-14,15.663999557495115,8708.0947265625,,,,,2866323951.026916,
2019-11-15,15.640000343322754,8491.9921875,,,,,2861932382.823944,
2019-11-16,15.640000343322754,8550.7607421875,,,,,2861932382.823944,
2019-11-17,15.640000343322754,8577.9755859375,,,,,2861932382.823944,
2019-11-18,15.52299976348877,8309.2861328125,,,,,2840522680.721283,
2019-11-19,15.74899959564209,8206.1455078125,,,,,2881877938.0073547,
2019-11-20,15.402000427246094,8027.26806640625,,,,,2818381254.180908,
2019-11-21,14.949999809265137,7642.75,,,,,2735670565.097809,
2019-11-22,15.15999984741211,7296.57763671875,,,,,2774098052.078247,
2019-11-23,15.15999984741211,7397.796875,,,,,2774098052.078247,
2019-11-24,15.15999984741211,7047.9169921875,,,,,2774098052.078247,
2019-11-25,15.276000022888184,7146.1337890625,,,,,2795324692.188263,
2019-11-26,15.239999771118164,7218.37109375,,,,,2788737078.1173706,
2019-11-27,15.26200008392334,7531.66357421875,,,,,2792762871.356964,
2019-11-28,15.26200008392334,7463.10595703125,,,,,2792762871.356964,
2019-11-29,15.032999992370604,7761.24365234375,,,,,2750858602.603912,
2019-11-30,15.032999992370604,7569.6298828125,,,,,2750858602.603912,
2019-12-01,15.032999992370604,7424.29248046875,,,,,2750858602.603912,
2019-12-02,15.008000373840332,7321.98828125,,,,,2746283972.4082947,
2019-12-03,14.998000144958496,7320.1455078125,,,,,2744454050.5256653,
2019-12-04,15.15999984741211,7252.03466796875,,,,,2774098052.078247,
2019-12-05,14.986000061035156,7448.3076171875,,,,,2742258179.168701,
2019-12-06,15.15999984741211,7546.99658203125,,,,,2774098052.078247,
2019-12-07,15.15999984741211,7556.23779296875,,,,,2774098052.078247,
2019-12-08,15.15999984741211,7564.34521484375,,,,,2774098052.078247,
2019-12-09,15.229999542236328,7400.8994140625,,,,,2786907156.234741,
2019-12-10,15.270000457763672,7278.11962890625,,,,,2794226843.765259,
2019-12-11,15.04699993133545,7217.42724609375,,,,,2753420423.435211,
2019-12-12,14.6850004196167,7243.13427734375,,,,,2687178856.7848206,
