Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,BTC_Total_Value,MSTR_Total_Value,BTC_MSTR_Ratio,Year
2020-08-10,12.362000465393066,11878.111328125,,,,,2262097741.1613464,,2020
2020-08-11,13.48900032043457,11410.525390625,21454.0,21454.0,250000000.0,244801411.73046875,2468325190.635681,0.09917713138414462,2020
2020-08-12,13.70400047302246,11584.9345703125,21454.0,21454.0,250000000.0,248543186.27148438,2507667638.5574336,0.09911328855942882,2020
2020-08-13,13.699999809265137,11784.1376953125,21454.0,21454.0,250000000.0,252816890.11523438,2506935565.097809,0.1008469837178965,2020
2020-08-14,14.663000106811523,11768.87109375,21454.0,21454.0,250000000.0,252489360.4453125,2683153063.545227,0.09410173570631132,2020
2020-08-15,14.663000106811523,11865.6982421875,21454.0,21454.0,250000000.0,254566690.08789062,2683153063.545227,0.09487594783412537,2020
2020-08-16,14.663000106811523,11892.8037109375,21454.0,21454.0,250000000.0,255148210.81445312,2683153063.545227,0.09509267819306887,2020
2020-08-17,14.383999824523926,12254.40234375,21454.0,21454.0,250000000.0,262905947.8828125,2632099359.889984,0.09988450735909961,2020
2020-08-18,14.314000129699709,11991.2333984375,21454.0,21454.0,250000000.0,257259921.33007812,2619290255.7334905,0.09821741625119611,2020
2020-08-19,14.166999816894531,11758.283203125,21454.0,21454.0,250000000.0,252262207.83984375,2592390962.4938965,0.09730870516427272,2020
2020-08-20,14.413999557495115,11878.3720703125,21454.0,21454.0,250000000.0,254838594.39648438,2637588951.026916,0.09661800952618708,2020
2020-08-21,14.508000373840332,11592.4892578125,21454.0,21454.0,250000000.0,248705264.53710938,2654789972.4082947,0.09368171008703043,2020
2020-08-22,14.508000373840332,11681.8251953125,21454.0,21454.0,250000000.0,250621877.74023438,2654789972.4082947,0.09440365540965283,2020
2020-08-23,14.508000373840332,11664.84765625,21454.0,21454.0,250000000.0,250257641.6171875,2654789972.4082947,0.0942664558093709,2020
2020-08-24,14.857999801635742,11774.595703125,21454.0,21454.0,250000000.0,252612176.21484375,2718835667.701721,0.09291189578529445,2020
2020-08-25,14.696000099182127,11366.134765625,21454.0,21454.0,250000000.0,243849055.26171875,2689191666.149139,0.09067745461628067,2020
2020-08-26,14.605999946594238,11488.36328125,21454.0,21454.0,250000000.0,246471345.8359375,2672722718.2273865,0.09221732735500643,2020
2020-08-27,14.652000427246094,11323.3974609375,21454.0,21454.0,250000000.0,242932169.12695312,2681140254.180908,0.09060778105439665,2020
2020-08-28,14.689000129699709,11542.5,21454.0,21454.0,250000000.0,247632795.0,2687910755.7334905,0.09212835451169014,2020
2020-08-29,14.689000129699709,11506.865234375,21454.0,21454.0,250000000.0,246868286.73828125,2687910755.7334905,0.09184392979257029,2020
2020-08-30,14.689000129699709,11711.505859375,21454.0,21454.0,250000000.0,251258646.70703125,2687910755.7334905,0.09347730246291847,2020
2020-08-31,14.444000244140623,11680.8203125,21454.0,21454.0,250000000.0,250600318.984375,2643078716.674804,0.09481379324927917,2020
2020-09-01,14.881999969482422,11970.478515625,21454.0,21454.0,250000000.0,256814646.07421875,2723227410.4156494,0.09430525158933416,2020
2020-09-02,15.0,11414.0341796875,21454.0,21454.0,250000000.0,244876689.29101562,2744820000.0,0.08921411578574028,2020
2020-09-03,14.428000450134276,10245.296875,21454.0,21454.0,250000000.0,219802599.15625,2640150946.3691707,0.08325380011265278,2020
2020-09-04,14.218999862670898,10511.8134765625,21454.0,21454.0,250000000.0,225520446.32617188,2601906346.8704224,0.08667508213638368,2020
2020-09-05,14.218999862670898,10169.5673828125,21454.0,21454.0,250000000.0,218177898.63085938,2601906346.8704224,0.0838530944410371,2020
2020-09-06,14.218999862670898,10280.3515625,21454.0,21454.0,250000000.0,220554662.421875,2601906346.8704224,0.08476656459490117,2020
2020-09-07,14.218999862670898,10369.5634765625,21454.0,21454.0,250000000.0,222468614.82617188,2601906346.8704224,0.08550216078828414,2020
